"COD","Articulo","Destino_Talleristas","Destino_Tipo","Caja","Item","Sector_Parte","Descripcion_Parte","Partes_x_uni","Rubro","Origen","Origen_Tipo","Flujo_proceso"
"026","Colador N°8","Lopez Jose","Prov Art Terminado","","1","","Cartón 026","1","Otros","Compra Otros","compra","Compra (Otros) → Cartón 026 ▣"
"027","Colador N°10","Lopez Jose","Prov Art Terminado","","1","","Cartón 027","1","Otros","Compra Otros","compra","Compra (Otros) → Cartón 027 ▣"
"029","Colador N°16","Lopez Jose","Prov Art Terminado","","1","","Cartón 029","1","Otros","Compra Otros","compra","Compra (Otros) → Cartón 029 ▣"
"031","Filtro De Café","Poly","Tallerista","","1","","Cartón 031","1","Cartones","Compra Cartones","compra","Compra (Cartones) → Cartón 031 ▣"
"031","Filtro De Café","Poly","Tallerista","","2","FC3","Alambre Filtro Café","1","Otros","Fleje 90","matriz","Fleje 90 → 〔Mat Charcas〕 → FC3 ▣"
"034","Filtro De Cafe Gastronomi","Poly","Tallerista","","1","","Cartón 034","1","Cartones","Compra Cartones","compra","Compra (Cartones) → Cartón 034 ▣"
"034","Filtro De Cafe Gastronomi","Poly","Tallerista","","2","FB3B","Alambre Filtro Café Gast","1","Otros","Fleje 90B","matriz","Fleje 90B → 〔Mat Charcas〕 → FB3B ▣"
"035E","Cernidor de Harina","Garcia","Tallerista","","1","035E-CC","Caja chica 035E","0.083333","Importados","035E-CC (sin proveedor)","compra","035E-CC (sin proveedor) → 035E-CC ▣"
"035E","Cernidor de Harina","Garcia","Tallerista","","2","035E-MC","Mastercaja 035E","0.020833","Importados","035E-MC (sin proveedor)","compra","035E-MC (sin proveedor) → 035E-MC ▣"
"043","3 en 1 CH","Martin","Tallerista","","1","C3","3 En 1 Sin Marca","1","Otros","Fleje 6","matriz","Fleje 6 → 〔Mat 32 (Corte Cuerpo 3 en 1)〕 → Mat 32 → 〔Mat 33 (Estampado Cuerpo 3 en 1)〕 → JF12 → 〔Pedernera (Cromado)〕 → C3 ▣"
"043","3 en 1 CH","Martin","Tallerista","","2","","Cartón 043","1","Cartones","Compra Cartones","compra","Compra (Cartones) → Cartón 043 ▣"
"043","3 en 1 CH","Martin","Tallerista","","3","C10","Uña Zincada","1","Otros","Fleje 57","matriz","Fleje 57 → 〔Mat 29 (Corte Uña)〕 → LF13 → 〔FAAT (Cementado)〕 → ST → 〔Guazzaroni (Zincado)〕 → C10 ▣"
"043","3 en 1 CH","Martin","Tallerista","","4","PA2","Plaquita 3 - 1 Blan.","1","Otros","PA2 (Pat Bet Plast)","compra","PA2 (Pat Bet Plast) → PA2 ▣"
"043","3 en 1 CH","Martin","Tallerista","","5","V9","Remache uña niq.","2","Remaches","📦 Comprado (Remaches) — Bella Vista","compra_remache","📦 Comprado (Remaches) — Bella Vista → 〔Guazzaroni (Niquelado)〕 → V9 ▣"
"043","3 en 1 CH","Martin","Tallerista","","6","V13","Rem Plaquita 3 en 1","2","Remaches","📦 Comprado (Remaches) — Electronica Mandelli","compra_remache","📦 Comprado (Remaches) — Electronica Mandelli → V13 ▣"
"053","Pinza De Fiambre Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","1","C9","Resorte U Crom","1","Otros","Fleje 26","matriz","Fleje 26 → 〔Mat 68 (Corte Resorte)〕 → Mat 68 → 〔Mat 69 (Doblado Resorte)〕 → IF2 → 〔Guazzaroni (Pulido)〕 → ST → 〔Guazzaroni (Pulido)〕 → C9 ▣"
"053","Pinza De Fiambre Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","1","C9","Resorte U Crom","1","Otros","Fleje 26","matriz","Fleje 26 → 〔Mat 68 (Corte Resorte)〕 → Mat 68 → 〔Mat 69 (Doblado Resorte)〕 → IF2 → 〔FAAT (Templado y Revenido)〕 → ST → 〔Guazzaroni (Pulido)〕 → C9 ▣"
"053","Pinza De Fiambre Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","1","C9","Resorte U Crom","1","Otros","ST (sin origen)","ps_st","ST (sin origen) → 〔Pedernera (Cromado)〕 → C9 ▣"
"053","Pinza De Fiambre Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","2","F9","Pinza Fiambre Izquierda","1","Otros","Fleje 40","matriz","Fleje 40 → 〔Mat 62 (Corte Pinza Fiambre Derecha)〕 → Mat 62 → 〔Mat 63 (Estampado Pinza Fiambre Derecha)〕 → F9 ▣"
"053","Pinza De Fiambre Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","3","F10","Pinza Fiambre Derecha","1","Otros","Fleje 40","matriz","Fleje 40 → 〔Mat 62 (Corte Pinza Fiambre Derecha)〕 → Mat 62 → 〔Mat 65 (Estampado Pinza Fiambre Izquierda)〕 → F10 ▣"
"053","Pinza De Fiambre Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","4","CCG4F","Cartón 053","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → G4F ▣"
"054","Pinza De Fideos Mgo Plastico 25cm","Log/ Fabr / Rafael","Fabricación interna","","1","F13","Pinza Fideo Izq","1","Otros","Fleje 39","matriz","Fleje 39 → 〔Mat 60 (Corte Pinza Fideos)〕 → Mat 60 → 〔Mat 75 (Estampado Izq Pinza Fideos)〕 → F13 ▣"
"054","Pinza De Fideos Mgo Plastico 25cm","Log/ Fabr / Rafael","Fabricación interna","","2","F14","Pinza Fideo Der","1","Otros","Fleje 39","matriz","Fleje 39 → 〔Mat 60 (Corte Pinza Fideos)〕 → Mat 60 → 〔Mat 61 (Estampado Der Pinza Fideos)〕 → F14 ▣"
"054","Pinza De Fideos Mgo Plastico 25cm","Log/ Fabr / Rafael","Fabricación interna","","3","C9","Resorte U Crom","1","Otros","Fleje 26","matriz","Fleje 26 → 〔Mat 68 (Corte Resorte)〕 → Mat 68 → 〔Mat 69 (Doblado Resorte)〕 → IF2 → 〔Guazzaroni (Pulido)〕 → ST → 〔Guazzaroni (Pulido)〕 → C9 ▣"
"054","Pinza De Fideos Mgo Plastico 25cm","Log/ Fabr / Rafael","Fabricación interna","","3","C9","Resorte U Crom","1","Otros","Fleje 26","matriz","Fleje 26 → 〔Mat 68 (Corte Resorte)〕 → Mat 68 → 〔Mat 69 (Doblado Resorte)〕 → IF2 → 〔FAAT (Templado y Revenido)〕 → ST → 〔Guazzaroni (Pulido)〕 → C9 ▣"
"054","Pinza De Fideos Mgo Plastico 25cm","Log/ Fabr / Rafael","Fabricación interna","","3","C9","Resorte U Crom","1","Otros","ST (sin origen)","ps_st","ST (sin origen) → 〔Pedernera (Cromado)〕 → C9 ▣"
"054","Pinza De Fideos Mgo Plastico 25cm","Log/ Fabr / Rafael","Fabricación interna","","4","CCG4G","Cartón 054","1","Cartones","Comprado Cartones","compra","📦 Comprado (Cartones) → G4G ▣"
"055","Pinza De Ensalada Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","1","C9","Resorte U Crom","1","Otros","Fleje 26","matriz","Fleje 26 → 〔Mat 68 (Corte Resorte)〕 → Mat 68 → 〔Mat 69 (Doblado Resorte)〕 → IF2 → 〔Guazzaroni (Pulido)〕 → ST → 〔Guazzaroni (Pulido)〕 → C9 ▣"
"055","Pinza De Ensalada Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","1","C9","Resorte U Crom","1","Otros","Fleje 26","matriz","Fleje 26 → 〔Mat 68 (Corte Resorte)〕 → Mat 68 → 〔Mat 69 (Doblado Resorte)〕 → IF2 → 〔FAAT (Templado y Revenido)〕 → ST → 〔Guazzaroni (Pulido)〕 → C9 ▣"
"055","Pinza De Ensalada Mgo Plastico 23cm","Log/ Fabr / Rafael","Fabricación interna","","1","C9","Resorte U Crom","1","Otros","ST (sin origen)","ps_st","ST (sin origen) → 〔Pedernera (Cromado)〕 → C9 ▣"
